run,step,side,T,J,seed,e_per_spin,m_per_spin,window,e_roll_avg,m_roll_avg,w_samples
1,287,10,1.5,1.0,11,-0.328,0.004,200,-0.22444,0.00288,200
1,288,10,1.5,1.0,11,-0.336,0.006,200,-0.22578,0.00289,200
1,289,10,1.5,1.0,11,-0.336,0.006,200,-0.2271,0.00291,200
1,290,10,1.5,1.0,11,-0.336,0.004,200,-0.22842,0.00292,200
1,291,10,1.5,1.0,11,-0.336,0.002,200,-0.2297,0.00291,200
1,292,10,1.5,1.0,11,-0.336,0.0,200,-0.23096,0.00288,200
1,293,10,1.5,1.0,11,-0.34,-0.002,200,-0.23224,0.00285,200
1,294,10,1.5,1.0,11,-0.344,-0.004,200,-0.23352,0.0028,200
1,295,10,1.5,1.0,11,-0.344,-0.004,200,-0.23478,0.00276,200
1,296,10,1.5,1.0,11,-0.344,-0.004,200,-0.23604,0.00273,200
1,297,10,1.5,1.0,11,-0.344,-0.004,200,-0.23728,0.00269,200
1,298,10,1.5,1.0,11,-0.348,-0.002,200,-0.23852,0.00265,200
1,299,10,1.5,1.0,11,-0.348,-0.004,200,-0.23976,0.0026,200
1,300,10,1.5,1.0,11,-0.348,-0.004,200,-0.241,0.00256,200
1,301,10,1.5,1.0,11,-0.352,-0.006,200,-0.24224,0.00252,200
1,302,10,1.5,1.0,11,-0.352,-0.004,200,-0.24348,0.00249,200
1,303,10,1.5,1.0,11,-0.352,-0.004,200,-0.24468,0.00245,200
1,304,10,1.5,1.0,11,-0.352,-0.002,200,-0.24586,0.00241,200
1,305,10,1.5,1.0,11,-0.352,0.0,200,-0.24704,0.00237,200
1,306,10,1.5,1.0,11,-0.352,0.0,200,-0.2482,0.00232,200
1,307,10,1.5,1.0,11,-0.352,-0.002,200,-0.24934,0.00227,200
1,308,10,1.5,1.0,11,-0.352,-0.002,200,-0.25048,0.00223,200
1,309,10,1.5,1.0,11,-0.352,0.0,200,-0.25162,0.0022,200
1,310,10,1.5,1.0,11,-0.356,-0.002,200,-0.25278,0.00216,200
1,311,10,1.5,1.0,11,-0.356,0.0,200,-0.25394,0.00212,200
1,312,10,1.5,1.0,11,-0.352,-0.002,200,-0.25508,0.00207,200
1,313,10,1.5,1.0,11,-0.352,0.0,200,-0.25622,0.00202,200
1,314,10,1.5,1.0,11,-0.352,0.0,200,-0.25734,0.00198,200
1,315,10,1.5,1.0,11,-0.352,0.002,200,-0.25846,0.00194,200
1,316,10,1.5,1.0,11,-0.352,0.0,200,-0.25956,0.00188,200
1,317,10,1.5,1.0,11,-0.352,0.0,200,-0.26066,0.00182,200
1,318,10,1.5,1.0,11,-0.352,0.0,200,-0.26174,0.00177,200
